 file, R, G, B, correct
output0245.jpg, 12, 20,  5,True
output0077.jpg,  3,  9, 25,True
output0115.jpg, 17, 13,  7,True
output0212.jpg, 11, 13, 13,True
output0280.jpg, 15, 18,  4,True
output0358.jpg, 13,  9, 15,True
output0481.jpg, 20, 14,  3,True
output0270.jpg, 14, 16,  7,True
output0154.jpg, 13, 17,  7,True
output0393.jpg, 14, 16,  7,True
output0194.jpg, 15, 11, 11,True
output0075.jpg,  3,  9, 25,True
output0246.jpg, 12, 20,  5,True
output0023.jpg,  8, 14, 15,True
output0377.jpg, 16, 11, 10,True
output0234.jpg, 12, 16,  9,True
output0065.jpg, 28,  7,  2,True
output0094.jpg, 14, 13, 10,True
output0017.jpg, 11, 12, 14,True
output0101.jpg, 14, 13, 10,True
output0251.jpg, 11, 20,  6,True
output0524.jpg, 20, 13,  4,True
output0109.jpg, 16, 12,  9,True
output0343.jpg, 10, 16, 11,True
output0274.jpg, 15, 18,  4,True
output0404.jpg, 15, 13,  9,True
output0405.jpg, 15, 13,  9,True
output0443.jpg, 19, 15,  3,True
output0084.jpg,  3,  9, 25,True
output0009.jpg, 37,  0,  0,True
output0263.jpg, 14, 16,  7,True
output0431.jpg, 15, 20,  2,True
output0344.jpg, 10, 16, 11,True
output0019.jpg,  8, 14, 15,True
output0301.jpg,  9, 19,  9,True
output0069.jpg, 28,  7,  2,True
output0318.jpg, 11, 13, 13,True
output0247.jpg, 12, 20,  5,True
output0275.jpg, 15, 18,  4,True
output0261.jpg, 14, 16,  7,True
output0399.jpg, 14, 16,  7,True
output0381.jpg, 16, 11, 10,True
output0119.jpg, 17, 13,  7,True
output0218.jpg, 11, 13, 13,True
output0155.jpg, 13, 17,  7,True
output0096.jpg, 14, 13, 10,True
output0215.jpg, 11, 13, 13,True
output0298.jpg, 13, 18,  6,True
output0378.jpg, 16, 11, 10,True
output0426.jpg, 15, 10, 12,True
output0165.jpg, 13,  9, 15,True
output0232.jpg, 12, 16,  9,True
output0258.jpg, 11, 20,  6,True
