 file, R, G, B, method
output0398.jpg, 14, 16,  7, MoG
output0450.jpg, 19, 15,  3, MoG
output0435.jpg, 15, 20,  2, MoG
output0463.jpg, 15, 18,  4, MoG
output0183.jpg,  8, 18, 11, MoG
output0112.jpg, 16, 12,  9, MoG
output0029.jpg, 13, 14, 10, MoG
output0347.jpg, 10, 16, 11, MoG
output0099.jpg, 14, 13, 10, MoG
output0480.jpg, 20, 14,  3, MoG
output0286.jpg, 13, 19,  5, MoG
output0244.jpg, 12, 20,  5, MoG
output0080.jpg,  3,  9, 25, MoG
output0264.jpg, 14, 16,  7, MoG
output0378.jpg, 16, 11, 10, MoG
output0475.jpg, 20, 14,  3, MoG
output0231.jpg, 12, 16,  9, MoG
output0467.jpg, 15, 18,  4, MoG
output0356.jpg, 13,  9, 15, MoG
output0353.jpg, 13,  9, 15, MoG
output0026.jpg,  8, 14, 15, MoG
output0055.jpg, 28,  7,  2, MoG
output0427.jpg, 15, 10, 12, MoG
output0441.jpg, 20, 15,  2, MoG
output0499.jpg, 22, 10,  5, MoG
output0186.jpg,  8, 18, 11, MoG
output0125.jpg, 13, 20,  4, MoG
output0215.jpg, 11, 13, 13, MoG
output0268.jpg, 14, 16,  7, MoG
output0047.jpg, 28,  7,  2, MoG
output0497.jpg, 22, 10,  5, MoG
output0403.jpg, 15, 13,  9, MoG
output0515.jpg, 21,  9,  7, MoG
output0470.jpg, 15, 18,  4, MoG
output0132.jpg, 13, 20,  4, MoG
output0034.jpg, 13, 14, 10, MoG
output0028.jpg, 13, 14, 10, MoG
output0292.jpg, 13, 18,  6, MoG
output0184.jpg,  8, 18, 11, MoG
output0078.jpg,  3,  9, 25, MoG
output0185.jpg,  8, 18, 11, MoG
output0524.jpg, 20, 13,  4, MoG
output0216.jpg, 11, 13, 13, MoG
output0115.jpg, 17, 13,  7, MoG
output0138.jpg, 14, 13, 10, MoG
output0326.jpg,  9, 12, 16, MoG
output0011.jpg, 11, 12, 14, MoG
output0455.jpg, 17, 16,  4, MoG
output0306.jpg,  9, 19,  9, MoG
output0221.jpg, 10, 13, 14, MoG
output0418.jpg, 12, 18,  7, MoG
output0104.jpg, 16, 12,  9, MoG
output0210.jpg, 11, 17,  9, MoG
output0172.jpg,  7, 14, 16, MoG
output0400.jpg, 14, 16,  7, MoG
output0287.jpg, 13, 19,  5, MoG
output0222.jpg, 10, 13, 14, MoG
output0413.jpg, 12, 18,  7, MoG
output0277.jpg, 15, 18,  4, MoG
output0242.jpg, 12, 20,  5, MoG
output0063.jpg, 28,  7,  2, MoG
output0520.jpg, 21,  9,  7, MoG
output0014.jpg, 11, 12, 14, MoG
output0327.jpg,  9, 12, 16, MoG
output0334.jpg,  9, 12, 16, MoG
output0465.jpg, 15, 18,  4, MoG
output0323.jpg,  9, 12, 16, MoG
output0211.jpg, 11, 17,  9, MoG
output0312.jpg, 11, 13, 13, MoG
output0281.jpg, 13, 19,  5, MoG
output0472.jpg, 20, 14,  3, MoG
output0164.jpg, 13,  9, 15, MoG
output0464.jpg, 15, 18,  4, MoG
output0489.jpg, 19, 16,  2, MoG
output0169.jpg, 13,  9, 15, MoG
output0372.jpg, 16, 11, 10, MoG
output0341.jpg, 10, 16, 11, MoG
output0519.jpg, 21,  9,  7, MoG
output0030.jpg, 13, 14, 10, MoG
output0363.jpg, 15, 10, 12, MoG
output0339.jpg,  9, 12, 16, MoG
output0174.jpg,  7, 14, 16, MoG
output0490.jpg, 19, 16,  2, MoG
output0114.jpg, 17, 13,  7, MoG
output0086.jpg, 12, 18,  7, MoG
output0346.jpg, 10, 16, 11, MoG
output0445.jpg, 19, 15,  3, MoG
output0432.jpg, 15, 20,  2, MoG
output0340.jpg,  9, 12, 16, MoG
